About,Informazioni
List Action,Azione di messa in vendita
"Automatically lists Not Listed items, if they meet the Relist Conditions.","Mette in vendita automaticamente gli oggetti non messi in vendita, se soddisfano le condizioni di rimessa in vendita."
"Updates Title, Subtitle, Description, Price, QTY and Shipment on eBay Listings.<br/>If <i>No</i> is selected, eBay Listing(s) with existing data on eBay is relisted.","Aggiorna Titolo, Sottotitolo, Descrizione, Prezzo, QTA e Spedizione nelle inserzioni eBay.<br/>Se si seleziona <i>No</i>, le inserzioni eBay con dati disponibili su eBay vengono rimesse in vendita."
Relist Schedule,Programma di rimessa in vendita
Delay after End,Ritardo al termine
Days of Week,Giorni della settimana
"The schedule of item(s) relisting, when the Relist Conditions are met.","Programma di rimessa in vendita degli oggetti, una volta soddisfatte le relative condizioni."
Days,Giorni
Hours,Ore
Minutes,Minuti
"In how many days, hours or minutes relisting have to start.","Tra quanti giorni, ore o minuti deve iniziare la rimessa in vendita."
Monday,Lunedì
Tuesday,Martedì
Wednesday,Mercoledì
Thursday,Giovedì
Friday,Venerdì
Saturday,Sabato
Sunday,Domenica
On what days of the week that follows the end of initial listing period the items have to be relisted.<br/>(Hold Ctrl button for choosing two or more.),In quali giorni della settimana successiva alla chiusura del periodo di inserzione iniziale gli oggetti devono essere rimessi in vendita<br/>(tieni premuto il tasto CTRL per scegliere due o più elementi).
Time Interval,Intervallo di tempo
"Sets a time interval, during that the item(s) have to be relisted if the Relist Conditions are met.","Imposta un intervallo di tempo, durante il quale gli oggetti devono essere rimessi in vendita se vengono soddisfatte le relative condizioni."
Start Time (hh:mm),Ora di inizio (hh:mm)
hh:mm format (i.e. 20:15).,"Formato hh:mm, ad esempio 20:15."
End Time (hh:mm),Ora di scadenza (hh:mm)
hh:mm format (i.e. 21:30).,"Formato hh:mm, ad esempio 21:30."
"Revise Rules are the conditions, at which automatic full and partial listings revising features are enabled.
<br/>If the certain condition is enabled (<i>Yes</i> is chosen in appropriate line) and met,
then eBay Listings, which were listed using current Synchronization Template,
will be automatically fully or partially updated.<br/>
    <ul class=""list"">
        <li><b>Partial Revise</b> - contains list of product details, which changes you want to be reflected on eBay.</li>
        <li><b>Full Revise</b> - contains list of M2E Templates. If any information of the templates is changed, then listings, which use these templates in their settings, will be automatically fully revised.</li>
    </ul>","Le regole di modifica rappresentano le condizioni in base alle quali vengono abilitate le funzioni di modifica delle inserzioni automatiche complete o parziali.
<br/>Se la condizione stabilita viene abilitata (viene scelto <i>Sì</i> nella riga appropriata) e soddisfatta,
le inserzioni eBay che erano state pubblicate utilizzando il modello di sincronizzazione
verranno aggiornate completamente o parzialmente in modo automatico.<br/>
    <ul class=""list"">
        <li><b>Modifica parziale</b>: contiene un elenco di dettagli dei prodotti dei quali desideri che le modifiche vengano riflesse in eBay.</li>
        <li><b>Modifica completa</b>: contiene un elenco di modelli M2E. Se si modifica una qualsiasi informazione dei modelli, le inserzioni che utilizzano questi modelli nelle relative impostazioni saranno modificate completamente in modo automatico.</li>
    </ul>"
Automatically revises quantity on eBay listing(s) when the quantity or attribute for quantity of its product is changed in Magento.,Modifica automaticamente la quantità nelle inserzioni eBay quando la quantità o il relativo attributo del prodotto corrispondente viene modificato in Magento.
Automatically revises price on eBay listing(s) when the price(s) or attribute(s) for price(s) of its product is (are) changed in Magento.,Modifica automaticamente il prezzo nelle inserzioni eBay quando i prezzi o i relativi attributi del prodotto corrispondente vengono modificati in Magento.
Automatically revises title of eBay listing(s) when the name or attribute(s) used for its title is (are) changed in Magento.,Modifica automaticamente il titolo delle inserzioni eBay quando il nome o gli attributi utilizzati per il relativo titolo vengono modificati in Magento.
Automatically revises subtitle of eBay listing(s) when attribute(s) used for subtitle is (are) changed in Magento.,Modifica automaticamente il sottotitolo delle inserzioni eBay quando gli attributi utilizzati per il sottotitolo vengono modificati in Magento.
Automatically revises description of eBay listing(s) when at least one of products descriptions attributes changes in Magento.,Modifica automaticamente la descrizione delle inserzioni eBay quando almeno uno degli attributi delle descrizioni dei prodotti viene modificato in Magento.
Full Revise,Modifica completa
Automatically revises eBay listing(s) if its Selling Format Template was changed.,Modifica automaticamente le inserzioni eBay se è stato modificato il relativo modello di formato di vendita.
Automatically revises eBay listing(s) if its Description Template was changed.,Modifica automaticamente le inserzioni eBay se è stato modificato il relativo modello di descrizione.
Automatically revises eBay listing(s) if its General Template was changed.,Modifica automaticamente le inserzioni eBay se è stato modificato il relativo modello generale.
"Stop Rules define the conditions when eBay items listing should be
    stopped, depending on Magento product state.<br/><br/>
    <b>Note:</b> If all Stop Conditions are set to <i>No</i> or <i>No Action</i>, then the stop option for eBay items is disabled.<br/>
    If all Stop Conditions are enablled, then an item will be stopped if at least one of the Stop Conditions is met.","Le regole di interruzione definiscono le condizioni in base alle quali è consigliabile interrompere la messa in vendita degli oggetti
    eBay, a seconda dello stato del prodotto Magento.<br/><br/>
    <b>Nota:</b> se tutte le condizioni di interruzione vengono impostate su <i>No</i> o <i>Nessuna azione</i>, l'opzione di interruzione per gli oggetti eBay viene disabilitata.<br/>
    Se tutte le condizioni di interruzione sono abilitate, un oggetto verrà interrotto se viene soddisfatta almeno una delle condizioni di interruzione."
"<strong>eBay settings were successfully set up.</strong> <br/><br/>
        Now you can continue working with extension. You can see below the short instructions, you may follow to start
        listing on %s quickly.<br/> The more detailed information can be found in the <a href=""%s"" target=""_blank"">Documentation</a>.<br/><br/>

        <strong>The next steps you need to perform are:</strong><br/><br/>

        <span style=""text-decoration: underline;""><strong>1)</strong> Selling Format Template creation:</span><br/>
        Navigate to %s > Templates > <a href=""%s"" target=""_blank"">Selling Format Templates</a>,
        Press on the Add Selling Format Template button;
        Fill in all necessary data;
        Save the template.<br/><br/>

        <span style=""text-decoration: underline;""><strong>2)</strong> Description Template creation:</span><br/>
        Navigate to %s > Templates > <a href=""%s"" target=""_blank"">Description Templates</a>;
        Press on the Add Description Template button;
        Fill in all necessary data;
        Save the template.<br/><br/>

        <span style=""text-decoration: underline;""><strong>3)</strong> General Template creation:</span><br/>
        Navigate to %s > Templates > <a href=""%s"" target=""_blank"">General Templates</a>;
        Press on the Add General Template button;
        Fill in all necessary data;
        Save the template.<br/><br/>

        <span style=""text-decoration: underline;""><strong>4)</strong> Synchronization Template creation:</span><br/>
        Navigate to %s > Templates > <a href=""%s"" target=""_blank"">Synchronization Templates</a>;
        Press on the Add Synchronization Template button;
        Fill in all necessary data;
        Save the template.<br/><br/>

        After completing these four necessary steps, you can start to create Listings (%s > Manage

        Listings > <a href=""%s"" target=""_blank"">Listings</a>), add Magento products to them and list on %s.<br/>","<strong>Le impostazioni eBay sono state configurate correttamente.</strong> <br/><br/>
    A questo punto puoi continuare a utilizzare l'estensione. Di seguito sono riportate delle brevi istruzioni da seguire per iniziare rapidamente la
    messa in vendita su %s.<br/> Nella <a href=""%s"" target=""_blank"">documentazione</a> sono disponibili informazioni più dettagliate.<br/><br/>

    <strong>Successivamente devi effettuare i passaggi seguenti:</strong><br/><br/>

    <span style=""text-decoration: underline;""><strong>1)</strong> Creazione del modello di formato di vendita:</span><br/>
    Seleziona %s > Modelli > <a href=""%s"" target=""_blank"">Modelli di formato di vendita</a>;
    Premi sul pulsante Aggiungi modello di formato di vendita;
    Inserisci tutti i dati necessari;
    Salva il modello.<br/><br/>

        <span style=""text-decoration: underline;""><strong>2)</strong> Creazione del modello di descrizione:</span><br/>
        Seleziona %s > Modelli > <a href=""%s"" target=""_blank"">Modelli di descrizione</a>;
    Premi sul pulsante Aggiungi modello di descrizione;
    Inserisci tutti i dati necessari;
    Salva il modello.<br/><br/>

        <span style=""text-decoration: underline;""><strong>3)</strong> Creazione del modello generale:</span><br/>
        Seleziona %s > Modelli > <a href=""%s"" target=""_blank"">Modelli generali</a>;
        Premi sul pulsate Aggiungi modello generale;
        Inserisci tutti i dati necessari;
        Salva il modello.<br/><br/>

    <span style=""text-decoration: underline;""><strong>4)</strong> Creazione del modello di sincronizzazione:</span><br/>
    Seleziona %s > Modelli > <a href=""%s"" target=""_blank"">Modelli di sincronizzazione</a>;
    Premi sul pulsante Aggiungi modello di sincronizzazione;
    Inserisci tutti i dati necessari;
    Salva il modello.<br/><br/>

    Una volta completati questi quattro passaggi obbligatori, puoi iniziare a creare le inserzioni (%s > Gestione

    inserzioni > <a href=""%s"" target=""_blank"">Inserzioni</a>), aggiungervi i prodotti Magento e mettere in vendita su %s.<br/>"
Accounts Set Up,Impostazione account
Adding your eBay accounts to M2E Pro extension.,Aggiunta dei tuoi account eBay all'estensione M2E Pro.
Marketplaces Set Up,Impostazione mercati
You need to choose the marketplaces you are going to sell on.,Devi scegliere i mercati in cui venderai.
3rd Party Synchronization Set Up,Impostazione della sincronizzazione di terze parti
"Set up Synchronization rules according to which auto and manual 3rd Party Listings Synchronization will be performed.
                <br/>
                <b>Note:</b> The 3rd Party Listings Synchronization has to be enabled in %s -> Configuration -> Synchronization to allow 3rd party listings to be imported from eBay.","Imposta le regole di sincronizzazione in base alle quali verrà effettuata la sincronizzazione automatica e manuale delle inserzioni di terze parti.
                <br/>
                <b>Nota:</b> la sincronizzazione delle inserzioni di terze parti deve essere abilitata in %s -> Configurazione -> Sincronizzazione per consentire l'importazione delle inserzioni di terze parti da eBay."
Synchronization Set Up,Impostazione sincronizzazione
Setting up preferences of data synchronization.,Impostazione delle preferenze di sincronizzazione dei dati.
Skip Wizard,Salta procedura guidata
"Click
            <a href=""%s"">Start Configuration</a> Wizard to quickly set up eBay settings or
            <a href=""%s"" onclick=""%s"">Skip</a> it if you intend to set up it later. <br/>
            <strong>Note:</strong> If you close the Wizard now, you will have to set up eBay settings manually.","Clicca sulla procedura guidata
            <a href=""%s"">Avvia la configurazione</a> per configurare rapidamente le impostazioni eBay oppure su 
            <a href=""%s"" onclick=""%s"">Salta</a> se intendi eseguire la configurazione in seguito. <br/>
            <strong>Nota:</strong> se chiudi la procedura guidata adesso, dovrai configurare le impostazioni di eBay manualmente."
eBay Channel,Canale eBay
"This part of extension allows quick and simple creation as well as management of product listings on eBay
        (inc. automated synchronization of stock levels, pricing, and product details), import of eBay Transactions, automated
        feedback posting for buyers and many other tasks which significantly reduce time required for listing maintenance.","Questa parte di estensione consente una creazione rapida e semplice delle inserzioni di prodotti su eBay, nonch‚ la relativa gestione
        (inc. la sincronizzazione automatica dei livelli di scorte, dei prezzi e dei dettagli dei prodotti), l'importazione di transazioni eBay, la pubblicazione automatica
        dei Feedback per gli acquirenti e molte altre attività che riducono notevolmente il tempo necessario per la gestione delle inserzioni."
Complete Wizard,Procedura guidata completa
"Part Compatibility feature for <b>eBay Motors</b> was added in current version.
            <br/>
            If you intend to use it, update
            <a href=""%s"" target=""_blank"">eBay Motors</a> marketplace, if no,
            <a href=""%s"">disregard</a> this message.
            <br/><br>
            To find out how to use this option see our
            <a href=""%s"" target=""_blank"">documentation</a>.","La funzione Compatibilità del pezzo di ricambio per <b>eBay Motori</b> è stata aggiunta nella versione corrente.
            <br/>
            Se intendi utilizzarla, aggiorna il nostro mercato
            <a href=""%s"" target=""_blank"">eBay Motori</a>; in caso contrario
            <a href=""%s"">ignora</a> questo messaggio.
            <br/><br>
            Per scoprire come usare quest'opzione consulta la
            <a href=""%s"" target=""_blank"">documentazione</a>."
"Task ""Orders Receive Synchronization"" for Rakuten.com ""%acc%"" Account and ""%mrk%"" marketplace is started. Please wait...","Attività di sincronizzazione della ricezione ordini per l'account ""%acc%"" e il mercato ""%mrk%"" Rakuten.com iniziata. Attendi..."
"Task ""Orders Update Synchronization"" for Rakuten.com ""%acc%"" Account and ""%mrk%"" marketplace is started. Please wait...","Attività di sincronizzazione degli aggiornamenti degli ordini per l'account ""%acc%"" e il mercato ""%mrk%"" Rakuten.com iniziata. Attendi..."
Attention! By deleting account you delete all information on it from M2E Pro server. This will cause inappropriate work of all accounts' copies.,Attenzione L'eliminazione dell'account comporta l'eliminazione di tutte le relative informazioni dal server M2E Pro. Questo comporta un lavoro inappropriato per tutte le copie degli account.
The product will be listed as a simple product as it has limitation for multi-variation items. Reason:sum of quantities of all possible products options more than 250.,Il prodotto sarà elencato come prodotto semplice in quanto presenta una limitazione per gli oggetti multi-variante. Motivo: somma delle quantità di tutte le opzioni di prodotti possibili superiore a 250.
Method of adding a new entity is not defined.,Metodo per l'aggiunta di una nuova entità non definito.
"Listings, which have the same Attribute Set, Marketplace and Account were not found.","Inserzioni con insieme di attributi, mercato e account corrispondenti non trovate."
"Listings, which have the same Marketplace and Account were not found.",Inserzioni con mercato e account corrispondenti non trovate.
Would you like to create one with default settings ?,Crearne una con le impostazioni predefinite?
Moving Rakuten.com Items.,Spostamento di oggetti Rakuten.com.
"Current Rakuten.com version only supports simple products. Please, choose simple product.",La versione corrente di Rakuten.com supporta solo prodotti semplici. Scegli un prodotto semplice.
List,Elenco
Revise,Modifica
Relist,Rimetti in vendita
Stop,Stop
Stop And Remove,Interrompi e rimuovi
Delete And Remove,Elimina e rimuovi
Conditions,Condizioni
Rakuten (Beta),Rakuten (Beta)
Component is not set.,Componente non impostato.
Bundle Items,Oggetti pacchetto
Links,Link
Associated Products,Prodotti associati
Custom Options,Opzioni personalizzate
Message,Messaggio
Create Date,Data creazione
Update Now,Aggiorna ora
Send Message,Invia il messaggio
Search Results,Risultati della ricerca
Knowledge Base,Knowledge base
Contact Support,Contatta l'Assistenza
Add,Aggiungi
Cancel Confirmation,Conferma annullamento
Edit Translation,Modifica traduzione
Congratulations! (Magento Multi-Channels Integration),Complimenti! (Integrazione multicanale di Magento)
Configuration Wizard (Magento Multi-Channels Integration),Configurazione guidata (Integrazione multicanale di Magento)
Welcome to M2E Pro - Magento Multi-Channels Integration!,M2E Pro - Integrazione multicanale di Magento
"The token for ""%s"" eBay Account has been expired.
                        <br>
                        Please, go to %s > Configuration > eBay Account > <a href=""%s"" target=""_blank"">General TAB</a>,
                        click on the Get Token button. (You will be redirected to the eBay website.)
                        Sign-in and press I Agree on eBay page.
                        Do not forget to press Save button after returning back to Magento","Codice temporaneo per l'account eBay ""%s"" scaduto.
                        <br>
                        Passa a %s > Configurazione > Account eBay > <a href=""%s"" target=""_blank"">scheda Generale</a> e
                        clicca sul pulsante Codice temporaneo. Sarai reindirizzato al sito Web eBay.
                        Accedi e clicca su Accetto nella pagina eBay.
                        Non dimenticare di cliccare sul pulsante Salva dopo essere tornato a Magento"
"Attention! The token for ""%s"" eBay Account will be expired soon ( %s ).
                    <br>
                    Please, go to %s > Configuration > eBay Account > <a href=""%s"" target=""_blank"">General TAB</a>,
                    click on the Get Token button. (You will be redirected to the eBay website.)
                    Sign-in and press I Agree on eBay page.
                    Do not forget to press Save button after returning back to Magento","Attenzione Il codice temporaneo per l'account eBay ""%s"" scadrà a breve (%s).
                        <br>
                        Passa a %s > Configurazione > Account eBay > <a href=""%s"" target=""_blank"">scheda Generale</a> e
                        clicca sul pulsante Codice temporaneo. Sarai reindirizzato al sito Web eBay.
                        Accedi e clicca su Accetto nella pagina eBay.
                        Non dimenticare di cliccare sul pulsante Salva dopo essere tornato a Magento"
Rakuten.com (Beta),Rakuten.com (Beta)
Sell On Multi-Channels,Vendi su più canali
"Encoding type ""%s"" is not supported.","Tipo di codifica ""%s"" non supportato."
Product id is not set,ID prodotto non impostato
Prefix must be specified before.,Devi prima specificare il prefisso.
Stock Item is not set.,Oggetto non impostato.
The requested quantity is not available.,Quantità richiesta non disponibile.
Payment Status for %s Order was not updated. View %sorder log%s for more details.,"Stato del pagamento per l'ordine ""%s"" non aggiornato. Per ulteriori dettagli, mostra  il %sregistro ordini%s."
Updating Rakuten.com Order Status to Shipped in Progress...,È in corso l'aggiornamento dello stato dell'ordine Rakuten.com su Spedito...
Shipping Status for %s Order was not updated. View %sorder log%s for more details.,"Stato della spedizione per l'ordine %s non aggiornato. Per ulteriori dettagli, visualizza il %sregistro ordini%s."
Shipment handler not found.,Gestore spedizione non trovato.
Product Reindex Was Executed.,Reindicizzazione prodotti eseguita.
Magento product is not set.,Prodotto Magento non impostato.
There is no associated product found for grouped product.,Nessun prodotto associato trovato per prodotto raggruppato.
There is no associated product found for configurable product.,Nessun prodotto associato per prodotto configurabile.
Qty cannot be less than zero.,La quantità non può essere minore di zero.
Selected options do not match the product options.,Le opzioni selezionate non corrispondono a quelle del prodotto.
Required options were not selected.,Opzioni necessarie non selezionate.
Invalid order log initiator.,Iniziatore registro ordini non valido.
Invalid repair data.,Ripristino dati non valido.
Invalid repair type.,Tipo ripristino non valido.
Qty is already reserved.,Quantità già prenotata.
Qty reservation is disabled in Account settings.,Prenotazione quantità disabilitata nelle impostazioni dell'account.
Qty is already released.,Quantità già sbloccata.
Qty reserve is already canceled.,Prenotazione quantità già annullata.
The Order Item(s) was not mapped to Magento Product(s) or mapped incorrect.,Gli oggetti dell'ordine non sono associati a prodotti Magento oppure l'associazione è errata.
Product(s) does not exist.,I prodotti non esistono.
Synchronization Lock File Is Already Locked,File blocco sincronizzazione già bloccato
Component Mode or Account ID or Marketplace ID is empty.,"Modalità componente, ID account o ID mercato vuoto."
No Other Listings found.,Impossibile trovare altre inserzioni.
Please select order(s).,Seleziona ordini.
Qty for selected Order(s) was successfully reserved.,La quantità per gli ordini selezionati è stata prenotata.
Qty for selected Order(s) was not reserved.,La quantità per gli ordini selezionati non è stata prenotata.
Qty for selected Order(s) was not reserved. Reason: %s,La quantità per gli ordini selezionati non è stata prenotata. Motivo: %s
Qty reserve for selected Order(s) was successfully canceled.,La prenotazione della quantità per gli ordini selezionati è stata annullata.
Qty reserve for selected Order(s) was not canceled.,La prenotazione della quantità per gli ordini selezionati non è stata annullata.
Qty reserve for selected Order(s) was not canceled. Reason: %s,La prenotazione della quantità per gli ordini selezionati non è stata annullata. Motivo: %s
Order item does not exist.,L'oggetto dell'ordine non esiste.
"Mapping product ""%s""","Associazione prodotto ""%s"""
Assign product options,Opzioni di assegnazione prodotto
Product does not have required options.,Il prodotto non presenta le opzioni necessarie.
Please specify required options.,Specifica le opzioni richieste.
Order item was successfully mapped.,L'oggetto dell'ordine è stato associato.
Order item options were successfully mapped.,Le opzioni dell'oggetto dell'ordine sono state associate.
Item was successfully unmapped.,Annullamento dell'associazione dell'oggetto eseguito correttamente.
Data has been sent on Rakuten.com. It is being processed now. You can continue working with M2E Pro.,I dati sono stati inviati a Rakuten.com. Attualmente sono in fase di elaborazione. Puoi continuare a utilizzare M2E Pro.
We recommend to set up your cron job to be run every 5 minutes (e.g. * * * * *).,È consigliabile impostare l'esecuzione del processo cron ogni 5 minuti (ad esempio * * * * *).
"<br/><b>Note:</b> M2E Pro v.5.x.x consists of %s.<br/>
    %s
    %s
    <br/>
    <hr style=""color:#D6D6D6""/><br/>
    M2E Pro extension requires activation for its work.<br/><br/>
    To get the License Key, click the <span style=""text-decoration: underline;"">Get License Key</span> link and follow the instructions.<br/>
    When you got your License Key, press the <span style=""text-decoration: underline;"">Enter</span> button
    and enter your License Key in appeared text field. Press the <span style=""text-decoration: underline;"">Confirm</span> button.<br/><br/>
    <b>Note:</b> If you have not received the License Key, please contact us right away at %s.","<br/><b>Nota:</b> M2E Pro v.5.x.x consiste di %s.<br/>
    %s
    %s
    <br>
    <hr style=""color:#D6D6D6""/><br/>
    L'estensione di M2E Pro richiede l'attivazione.<br/><br/>
    Per ottenere il codice di licenza, fai clic sul collegamento <span style=""text-decoration: underline;"">Ottieni codice di licenza</span> e segui le istruzioni.<br/>
    Una volta ottenuto il codice di licenza, premi il pulsante <span style=""text-decoration: underline;"">Invio</span>
    e immetti il codice di licenza nel campo di testo visualizzato. Premi il pulsante <span style=""text-decoration: underline;"">Conferma</span>.<br/><br/>
    <b>Nota:</b> se non hai ricevuto il codice di licenza, contattaci subito all'indirizzo %s."
"<b>Note:</b> The current Beta version of the Rakuten.com module is provided free of charge.
                                However, please be advised that upon the live version of the product release some monthly subscription fee will introduced.","<b>Nota</b>: la versione Beta corrente del modulo Rakuten.com viene fornita gratuitamente.
                                Tuttavia, ti ricordiamo che dopo il rilascio della versione dinamica del prodotto verrà introdotta una tariffa d'iscrizione mensile."
"This page contains all created Listings. Use Templates filters to sort Listings by templates that they use in their settings.<br/>
    You can perform different Actions on a single Listing or on a group of Listings.<br/>
    Actions for a single Listing you can find in the Action column of the grid. Choose a necessary option in the appropriate Listing dropdown to execute it.<br/>
    Mass actions are in the Actions dropdown at the top right corner of the grid. Select check-boxes of appropriate items,
    choose an Action from the dropdown and press the <span style=""text-decoration: underline;"">Submit</span> button.","In questa pagina sono contenute tutte le inserzioni create. Usa i filtri dei modelli per ordinare le inserzioni in base ai modelli utilizzati nelle relative impostazioni.<br/>
    Puoi eseguire diverse azioni su una singola inserzione o su un gruppo di inserzioni.<br/>
    Azioni per un'inserzione singola disponibili nella colonna Azione della griglia. Scegli un'opzione necessaria nel menu a discesa Inserzione appropriato per eseguirla.<br/>
    Le azioni in massa sono disponibili nel menu a discesa Azioni nell'angolo superiore destro della griglia. Seleziona le caselle di testo degli oggetti appropriati,
    scegli un'azione nel menu a discesa e premi il pulsante <span style=""text-decoration: underline;"">Invia</span>."
Orders Log Clearing,Cancellazione del registro ordini
Attributes Filter,Filtro attributi
%s Order ID,ID ordine %s
%s Final Fee,Tariffa finale %s
Action Required,Azione necessaria
Please enter correct product ID or SKU.,Immetti l'ID prodotto o il codice prodotto corretto.
Order Item Mapping,Associazione oggetto ordine
Order Item Options Mapping,Associazione opzioni oggetto ordine
Channel Options,Opzioni di canale
No channel options available TODO TEXT,Nessuna opzione di canale disponibile TODO TEXT
Save selection for subsequent orders,Salva le opzioni selezionate per gli ordini successivi
Waiting,In attesa
Processing,Elaborazione in corso
Disabled - Coming Soon,Disabilitato - Disponibile a breve
play.com / rakuten.co.uk,play.com / rakuten.co.uk
rakuten.de,rakuten.de
eBay channel status.,Stato canale eBay
Amazon channel status.,Stato canale Amazon
Rakuten,Rakuten
Rakuten.com channel status.,Stato canale Rakuten.com.
Play.com / Rakuten.co.uk,Play.com / Rakuten.co.uk
Disabled - Coming Soon...,Disabilitato - Disponibile a breve...
Play.com / Rakuten.co.uk channel status.,Stato canale Play.com / Rakuten.co.uk.
Rakuten.de,Rakuten.de
Rakuten.de channel status.,Stato canale Rakuten.de.
The tab of which channel must be opened by default.,La scheda del canale deve essere aperta per impostazione predefinita.
"Please take a look at <a href=""%s"" onclick=""%s"">Documentation</a> and <a href=""%s"" onclick=""%s"">Knowledge Base</a>.
                Most probably it has the answer to your question(s).<br/>
                If you still have any questions, fill in the form below to contact our Customer Support. <br/><br/>
                <b>Note:</b> We provide support during our working hours: 10 a.m. - 6 p.m. (GMT+2), mon - fri.","Consulta la <a href=""%s"" onclick=""%s"">documentazione</a> e la <a href=""%s"" onclick=""%s"">Knowledge base</a>.
        Molto probabilmente troverai la risposta che stai cercando.<br/>
        Per ulteriori domande, compila il modulo riportato di seguito per contattare l'Assistenza clienti. <br/><br/>
        <b>Nota:</b> forniamo assistenza durante l'orario lavorativo, ossia dalle 10.00 alle 18.00 (GMT+2), dal lunedì al venerdì."
Contact Email,E-mail per contatti
General Problem,Problema generale
Problem,Problema
"What steps will reproduce the problem?
1.
2.
3.

What is the expected output? What do you see instead?


Please provide any additional information below.
","Quali passaggi genereranno il problema?
1.
2.
3.

Qual è il risultato previsto? Cosa rilevi invece?


Fornisci di seguito eventuali informazioni aggiuntive.
"
No Articles Found,Nessun articolo individuato
Go To Article â†’,Vai all'articolo â†’
Feedback,Feedback
No Ideas Found,Nessuna idea trovata
Go To Idea â†’,Vai all'idea â†’
Enter your problem here,Inserisci qui il problema
"Has to be enabled if changes in catalog are being made directly to database.<br/><b>Note:</b> It is strongly recommended to enable this option if you really need it,<br/>as it is very resource and time consuming and may affect <br/>synchronization performance.","Questa opzione deve essere abilitata se le modifiche nel catalogo vengono apportate direttamente nel database.<br/><b>Nota:</b> è fortemente consigliato abilitare questa opzione solo se veramente necessaria,<br/>in quanto richiede molte risorse e molto tempo e potrebbe influire sulle <br/>prestazioni della sincronizzazione."
The languages that the texts should be translated to were not added.,Non sono state aggiunte le lingue in cui tradurre il testo.
Not Translated,Non tradotto
"To add translated text you have to perform the next steps:

<ul class=""list"">
    <li>go to the necessary Language tab;</li>
    <li>click the Add Translation on the appropreate line;</li>
    <li>in the opened text area enter the translated text;</li>
    <li>click Add.</li>
</ul>

To see other suggested translations, click on the <i>Show More Translations</i> link.
If you like one of the suggested translations you can <i>Confirm</i> it.
<br/>When translated text is confirmed 10 times by different users, it will be displayed on the interface.
<br/><br/>
<b>Note:</b> You can see different html symbols, like &lt;b&gt;, &lt;br&gt;, %ver%, %s, %d, %1$s and others. Please, keep these symbols on their places in the translated texts.
It will format texts to be displayed correctly on the interface.","Per aggiungere testo tradotto, devi eseguire questa procedura:

<ul class=""list"">
    <li>Passa alla scheda Lingua necessaria</li>
    <li>Clicca su Aggiungi traduzione sulla riga appropriata</li>
    <li>Nell'area di testo che viene aperta, inserisci il testo tradotto</li>
    <li>Clicca su Aggiungi</li>
</ul>

Per vedere altre traduzioni suggerite, clicca sul collegamento <i>Mostra altre traduzioni</i>.
Se una delle traduzioni suggerite ti soddisfa puoi <i>confermarla</i>.
<br/>Dopo che il testo tradotto viene confermato 10 volte da utenti diversi, esso verrà visualizzato nell'interfaccia.
<br/><br/>
<b>Nota:</b> possono essere presenti diversi simboli HTML come &lt;b&gt;, &lt;br&gt;, %ver%, %s, %d, %1$s e così via. Ricorda di non spostare o rimuovere questi simboli nel testo tradotto.
Essi servono a formattare il testo affinché venga visualizzato correttamente nell'interfaccia."
"New <strong>3rd Party Listings</strong> functionality was added to this version. Now you can manage your existing listings (not listed by M2E Pro) from the 3rd Party Listings grid.
            <br/><br/>
            Please complete the Configuration Wizard (see the link below) steps to quickly set up settings for auto and manual synchronization of the 3rd Party Listings.
            <br/><br/>
            Click to
            <a href=""%s"">Start Configuration</a> or
            <a href=""%s"">Skip</a> the Wizard.<br />","In questa versione è stata aggiunta la nuova funzionalità <strong>Inserzioni di terze parti</strong>. Ora puoi gestire le tue inserzioni esistenti (non messe in vendita da M2E Pro) dalla griglia delle inserzioni di terze parti.
            <br/><br/>
            Completate i passaggi della configurazione guidata (vedi il collegamento seguente) per configurare rapidamente le impostazioni della sincronizzazione automatica e manuale delle inserzioni di terze parti.
            <br/><br/>
            Clicca su
            <a href=""%s"">Avvia la configurazione</a> o
            <a href=""%s"">Salta</a> la procedura guidata.<br/>"
"Set up a cron job to run every 5 minutes (e.g. * * * * *) to enable automatic work of the extension.<br/>
            Otherwise, some processes will not work (i.e. synchronization tasks, logs cleaning).","Imposta l'esecuzione di un processo cron ogni 5 minuti (ad esempio * * * * *) per abilitare l'utilizzo automatico dell'estensione.<br/>
            In caso contrario, alcuni processi non funzioneranno (ad esempio le attività di sincronizzazione e la pulitura dei registri)."
"You have successfully installed <strong>M2E Pro v. %s</strong>.<br/>
             Click
             <a href=""%s"">Start Configuration</a> Wizard to quickly set up main settings or
             <a href=""%s"" onclick=""%s"">Skip</a> it if you intend to set it later. <br/>
             <strong>Note:</strong> If you skip the Wizard, it never starts again. You will be required to set all settings manually.","<strong>M2E Pro v. %s</strong> è stato correttamente installato.<br/>
             Clicca sulla procedura guidata
             <a href=""%s"">Avvia configurazione</a> per configurare rapidamente le impostazioni principali oppure su 
             <a href=""%s"" onclick=""%s"">Salta</a> se intendi eseguire la configurazione in seguito. <br/>
             <strong>Nota:</strong> se ignori la Procedura guidata, non verrà avviata nuovamente. Pertanto, dovrai configurare manualmente tutte le impostazioni."
Continue,Continua
Reservation,Prenotazione
Not Reserved,Non prenotata
Reserved,Prenotata
Released,Sbloccata
Canceled,Annullato
Reserve QTY,Prenota quantità
Cancel QTY Reserve,Annulla prenotazione quantità
edit,modifica
Configure,Configura
Discard,Rimuovi
List Rules,Regole inserzione
