About,Info
Watermark Upload,Wasserzeichen hochladen
Select image that you want to add as a watermark.,"Wählen Sie ein Bild, das Sie als Wasserzeichen hinzufügen möchten."
Watermark Uploaded Image,Als Wasserzeichen hochgeladenes Bild
Watermark Transparency,Transparenz des Wasserzeichens
Disable,Deaktivieren
Enable,Aktivieren
Sets transparency of watermark image to 30 %.,Legen Sie einen Wert von 30 % für die Transparenz des Wasserzeichens fest.
Scale Watermark Image,Größe des Wasserzeichens
In Width,Breite
Full Image,Vollbild
Scales watermark image in width or full image.,Legt die Größe des Wasserzeichens auf Breite oder Vollbild fest.
Watermark Position,Position des Wasserzeichens
Top,Oben
Middle,Mitte
Bottom,Unten
Watermark position on the image.,Position des Wasserzeichens im Bild.
Description Source,Quelle der Produktbeschreibung
Custom Description,Eigene Beschreibung
Item's description source for eBay Listing.,Quelle der Artikelbeschreibung für das eBay-Angebot.
Click the button to switch between HTML and WYSIWYG modes.,"Klicken Sie auf die Schaltfläche, um zwischen den Modi HTML und WYSIWYG zu wechseln."
Custom Description Inserts,Einfügen einer eigenen Beschreibung
Product Attribute,Produktattribut
Attributes related to the previously chosen Attribute Set.,"Attribut, das mit dem zuvor gewählten Attributdatensatz verwandt ist."
Product Image(s),Produktbild(er)
Add Image(s),Bild(er) hinzufügen
Displaying Images,Bilder werden angezeigt
Custom Settings,Eigene Bilder
Gallery View,Galerieansicht
Image(s) Width,Bildbreite
Main Image Width,Breite des Hauptbilds
Original,Original
Custom,Individuell
Image(s) Height,Bildhöhe
Main Image Height,Höhe des Hauptbilds
Image(s) Margin,Bildrand
Images Layout,Bildanordnung
Horizontal,Horizontal
Vertical,Vertikal
Gallery Hint,Hinweis zur Galerie
Click on the image below to get zoomed view of the item,"Klicken Sie unten auf das Bild, um den Bildausschnitt zu vergrößern"
Open original size image<br/> in a new  window,Öffnen Sie das Bild in Originalgröße<br/> in einem neuen Fenster
Choose configuration how the image(s) should be displayed and press the <i>Insert</i> button. Image's tag will be added to the end of the text.,"Wählen Sie, wie das/die Bild(er) angezeigt werden soll(en) und klicken Sie auf <i>Einfügen</i>. Das Bild-Tag wird am Ende des Texts hinzugefügt."
Select Product,Produkt auswählen
Enter Product Id,Geben Sie die Produkt-ID ein
or,oder
"General Template contains basic settings which are required for listing items on eBay.<br/><br/>
    <b>Note:</b> Before General Template creating Marketplaces should be uploaded (Configuration > Marketplaces).
    Otherwise, categories and marketplaces will not be displayed.","Allgemeine Vorlagen enthalten grundlegende Einstellungen, die für das Einstellen von Artikeln bei eBay benötigt werden.<br/><br/>
    <b>Hinweis:</b> Vor der Erstellung der allgemeinen Vorlage sollten die Marktplätze geladen werden (Konfiguration > Marktplätze).
    Andernfalls werden die Kategorien und Marktplätze nicht angezeigt."
You should select a Marketplace first.,Sie müssen zuerst einen Marktplatz auswählen.
"Please, choose a Primary eBay Category to have an access to this section.","Wählen Sie eine eBay-Hauptkategorie, um auf diesen Abschnitt zugreifen zu können."
Please enter the Category ID.,Bitte geben Sie die Kategorie-ID ein.
Marketplace,Marktplatz
Only the marketplaces chosen in Configuration > Marketplaces are shown for selection.,"Es werden nur die Marktplätze angezeigt, die zuvor unter Konfiguration > Marktplätze ausgewählt wurden."
eBay accounts you have already added in Configuration > eBay Accounts.,"Die eBay-Mitgliedskonten, die Sie bereits unter Konfiguration > eBay-Mitgliedskonten hinzugefügt haben."
eBay Categories,eBay-Kategorien
Category Source,Quelle der Kategorie
Where the categories data should be taken from.,"Die Quelle, aus der die Daten der Kategorien übernommen werden sollen."
Primary Category Attribute,Attribut der Hauptkategorie
Choose the attribute contains Primary eBay Category ID.,Wählen Sie das Attribut mit der eBay-ID für die Hauptkategorie.
Primary Category,Hauptkategorie
or Category ID,oder Kategorie-ID
Secondary Category Attribute,Attribut der Zweitkategorie
Choose the attribute contains Secondary eBay Category ID.,Wählen Sie das Attribut mit der eBay-ID für die Zweitkategorie.
Secondary Category,Zweitkategorie
Tax Category,Steuerkategorie
This is to be used only by sellers who have opted into sales tax<br /> being calculated by a sales tax calculation vendor.,"Diese Kategorie sollte nur von Verkäufern verwendet werden, die ihre Mehrwertsteuer von einem professionellen Anbieter berechnen lassen."
Tax Category Attribute,Attribut der Steuerkategorie
eBay Store Categories,eBay Shop-Kategorien
eBay Store Name,eBay Shop-Name
Primary Category Source,Quelle der Hauptkategorie
---,---
Where the Primary eBay Store category data should be taken from.,"Die Quelle, aus der die Daten der Hauptkategorie des eBay Shops übernommen werden sollen."
Choose the attribute contains Primary eBay Store Category ID.,Wählen Sie das Attribut mit der ID der Hauptkategorie des eBay Shops.
Secondary Category Source,Quelle der Zweitkategorie
Where the Secondary eBay Store category data should be taken from.,"Die Quelle, aus der die Daten der Zweitkategorie des eBay Shops übernommen werden sollen."
Choose the attribute contains Secondary eBay Store Category ID.,Wählen Sie das Attribut mit der ID der Zweitkategorie des eBay Shops.
Multi Variation,Mehrere Varianten
Multi Variation Disabled,Mehrere Varianten deaktiviert
"Selected eBay marketplace does not allow creating multi variation eBay listings.
                <br/>Configurable, Bundle, Grouped and Simple Products with Custom Options will be listed as regular eBay items. All variations will be ignored.","In dem ausgewählten eBay-Marktplatz können keine eBay-Angebote mit mehreren Varianten erstellt werden.
                <br/>Konfigurierbare, gebündelte, gruppierte und einfache Produkte mit benutzerdefinierten Optionen werden in diesem Marktplatz als normale eBay-Artikel eingestellt. Es werden keine Varianten berücksichtigt."
Multi Variation Enabled,Mehrere Varianten aktiviert
"Selected Primary eBay category allows creating multi variation listings.
                <br/>Configurable, Bundle, Grouped and Simple Products with Custom Options can be listed as multi variation eBay items.<br/><br/>
                <b>Note:</b> eBay allows listing items with variations only in Fixed Price listing (in Auction listing type all variation
                will be ignored) and the Best Offer option is not used in this case (it will be ignored if it was set in your Selling Format
                Template).","In der ausgewählten eBay-Hauptkategorie können Angebote mit mehreren Varianten erstellt werden.
                <br/>Konfigurierbare, gebündelte, gruppierte und einfache Produkte mit benutzerdefinierten Optionen können als eBay-Artikel mit mehreren Varianten eingestellt werden.<br/><br/>
                <b>Hinweis:</b> Angebote mit mehreren Varianten können bei eBay nur in Form von Festpreisangeboten eingestellt werden (bei Angeboten im Auktionsformat werden alle Varianten
                ignoriert) und die Option für Preisvorschläge wird in diesem Fall nicht verwendet (falls sie in Ihrer Angebotsformatvorlage
                definiert wurde, wird sie ignoriert)."
"Selected Primary eBay category does not allow creating multi variation eBay listings.
                <br/>Configurable, Bundle, Grouped and Simple Products with Custom Options will be listed as regular eBay items. All variations will be ignored.","In der ausgewählten eBay-Hauptkategorie können keine eBay-Angebote mit mehreren Varianten erstellt werden.
                <br/>Konfigurierbare, gebündelte, gruppierte und einfache Produkte mit benutzerdefinierten Optionen werden in diesem Marktplatz als reguläre eBay-Artikel eingestellt. Es werden keine Varianten berücksichtigt."
Ignore Variations,Varianten ignorieren
"If <i>Yes</i>, the variations of products will be ignored.","Wenn Sie <i>Ja</i> wählen, werden die Varianten aller Produkte ignoriert."
Inventory Information,Angaben zum Warenbestand
"If <i>Yes</i>, the Product SKU will be used as a Custom Label.","Wenn Sie <i>Ja</i> wählen, wird die Bestandseinheit als Lagerhaltungsnummer verwendet."
"You should specify payment method(s) you can offer your buyers.<br/><br/>
    <b>Note:</b> At least one payment method should be specified.","Sie müssen Zahlungsmethoden für Ihre Käufer festlegen.<br/><br/>
    <b>Hinweis:</b> Sie müssen mindestens eine Zahlungsmethode festlegen."
"Max applicable length is 6 characters, including the decimal (e.g., 12.345).","Sie können höchstens 6 Zeichen eingeben, einschließlich Dezimalstellen (z. B. 12,345)."
Payment method should be specified.,Sie müssen eine Zahlungsmethode festlegen.
PayPal payment method should be specified for Cross Border trade.,Sie müssen eine PayPal-Zahlungsmethode für den internationalen Handel festlegen.
Cash On Delivery payment method is required.,Sie müssen Zahlung per Nachnahme als Zahlungsmethode festlegen.
PayPal,PayPal
PayPal Accepted,PayPal akzeptiert
PayPal Email Address,E-Mail-Adresse für PayPal
Email address for receiving payment.,E-Mail-Adresse für den Zahlungsempfang.
Require Immediate Payment,Sofortige Bezahlung erforderlich
"Only applicable to items listed on PayPal-enabled sites in categories that support immediate payment, when a seller has a Premier or Business PayPal account.","Diese Option kann nur für Artikel ausgewählt werden, die auf PayPal-fähigen Websites in Kategorien eingestellt werden, die die sofortige Bezahlung unterstützen. Der Verkäufer muss dazu ein „Premier“- oder Geschäftskonto bei PayPal besitzen."
Additional Payment Methods,Weitere Zahlungsmethoden
Please select eBay Category to have access to this section,"Wählen Sie eine eBay-Kategorie, um auf diesen Abschnitt zugreifen zu können"
Payment Methods,Zahlungsmethoden
"Sellers are obliged to specify a return policy when listing an item on eBay.
    Even if the policy is do not accept returns, buyers should know this before bidding or buying.<br/>
    It is recommended to accept and specify a clear return policy, as it can give buyers confidence to bid or buy and
    prevent problems after the sale.<br/><br/>
    <b>Note:</b> Return Policy settings may vary depending on the marketplaces and categories.","Verkäufer müssen Rücknahmebedingungen festlegen, um Artikel bei eBay einstellen zu können.
    Selbst wenn keine Rücknahmen akzeptiert werden, sollten Käufer ausdrücklich hierauf hingewiesen werden, bevor sie auf Artikel bieten oder diese kaufen.<br/>
    Wir empfehlen, Rücknahmen zu akzeptieren und klare Rücknahmebedingungen zu formulieren. Dies gibt Käufern Vertrauen für das Bieten und Kaufen und hilft, Probleme
    nach dem Kauf zu vermeiden.<br/><br/>
    <b>Hinweis:</b> Ihre Rücknahmebedingungen können sehr wohl je nach Marktplatz oder Kategorie variieren."
Refund Will Be Given As,Rückerstattung erfolgt in folgender Form
Item Must Be Returned Within,Artikel muss innerhalb folgender Frist zurückgegeben werden:
Return Shipping Will Be Paid By,Versandkosten bei Rückgabe trägt
Restocking Fee Value,Rücknahmegebühr
Refund Description,Rückerstattungsbeschreibung
"This tab allows you to determine information about how, when and where your products will be shipped from.","Auf dieser Registerkarte können Sie Angaben zu Versandmethode, -datum und -ort Ihrer Produkte machen."
Location or Zip/Postal Code should be specified.,Sie müssen den Artikelstandort oder die Postleitzahl eingeben.
You should specify at least one shipping method.,Sie müssen mindestens eine Versandmethode festlegen.
Select one or more international ship-to locations.,Wählen Sie mindestens eine Lieferadresse im Ausland aus.
Item Location,Artikelstandort
Country your product will be shipped from.,"Das Land, aus dem Ihr Produkt versendet wird."
Zip/Postal Code of the item location that is used for searches by location.,"Die Postleitzahl des Artikelstandorts, die für Suchanfragen nach Standort verwendet wird."
"City, State",Ort
"City, State for the location from which the package will be shipped.","Der Ort, von dem aus Ihr Artikel versendet wird."
Taxation,Besteuerung
Use eBay Tax Table,Verwenden Sie die eBay-Steuertabelle
Charges sales tax according to the tax table of your eBay account.,Berechnet die Mehrwertsteuer entsprechend der Steuertabelle Ihres eBay-Mitgliedskontos.
"VAT Rate, %","Mehrwertsteuersatz, %"
"To specify it, a seller must have business eBay account and must be listing the item on a VAT-enabled site.","Um die Mehrwertsteuer festlegen zu können, muss ein Verkäufer über ein gewerbliches eBay-Mitgliedskonto verfügen und das Angebot auf einer für die Verwendung der Mehrwertsteuer aktivierten Website einstellen."
Domestic Shipping,Versand im Inland
Flat: same cost to all buyers,Pauschal: Gleiche Kosten für alle Käufer
Calculated: cost varies by buyer location,Berechnet: Versandkosten variieren je nach Lieferadresse
Freight: large items,Fracht: Große Artikel
No Shipping: local pickup only,Kein Versand: Nur Abholung
Use eBay Shipping Rate Table,Verwenden Sie die eBay-Versandkostentabelle
Charges shipping cost according to the shipping rate per an item table of your eBay account.,Berechnet die Versandkosten entsprechend der Versandkostentabelle Ihres eBay-Mitgliedskontos.
Service,Versandart
Cost,Kosten
Additional Item Cost,Kosten für zusätzliche Artikel
Local pickup,Abholung
Item is available for local pickup only.,Kein Versand: Nur Abholung
Freight,Fracht
Specify your own freight shipping options in your item description.,Die Versandoptionen werden in der Artikelbeschreibung des Artikels angegeben.
Get It Fast,Expressversand
At least one qualifying expedited shipping service and 1 day handling time must be offered to enable this option.,"Um diese Option zu aktivieren, muss mindestens eine geeignete Expressversandart und eine Bearbeitungsdauer von 1 Tag angeboten werden."
Handling Time,Bearbeitungszeit
Time that is needed to prepare an item to be shipped.,Die für die Vorbereitung des Artikelversands benötigte Zeit.
Handling Cost,Kosten für Verpackung
Custom Value,Benutzerdefinierter Wert
Addition of handling cost to the shipping costs.,Die Kosten für Verpackung werden zu den Versandkosten hinzugefügt.
Handling Cost Attribute,Attribut für Kosten für Verpackung
Handling Cost Value,Wert für Kosten für Verpackung
Combined Shipping Profile,Kombiversandprofil
"Allows using Flat Shipping Rule and Calculated Shipping Rule profiles, which were created on eBay.","Ermöglicht die Anwendung der Profile mit Regeln für die Versandpauschale und Regeln für berechnete Versandkosten, die bei eBay erstellt wurden."
Uploads new or refreshes eBay Shipping profiles.,Lädt neue Versandprofile oder aktualisiert vorhandene eBay-Versandprofile.
Promotional Shipping Rule,Regel für Versandaktionen
Adding Shipping Discounts according to the rules that are set in your eBay Account.,Sie können Versandrabatte entsprechend den für Ihr eBay-Mitgliedskonto festgelegten Regeln hinzufügen.
"""Cash On Delivery"" Cost",Nachnahmekosten
Required when using COD Payment Method.,Erforderlich wenn als Zahlungsmethode Nachnahme gewählt wurde.
Cross Border Trade,Internationaler Handel
"The international site visibility feature allows qualifying listings to be posted on international sites.
<br/>Buyers on these sites will see the listings exactly as you originally post them.","Die Funktion „Internationale Visibilität“ ermöglicht es, berechtigte Angebote auf internationalen Websites einzustellen. 
<br/>Käufern wird auf diesen Websites Ihr Angebot so angezeigt, wie Sie es ursprünglich einstellen."
Australia Marketplace Visibility,Sichtbarkeit bei eBay Australien
USA / Canada Marketplace Visibility,Sichtbarkeit bei eBay USA/Kanada
eBay North America (ebay.com and ebay.ca),eBay Nordamerika (ebay.com und ebay.ca)
UK Marketplace Visibility,Sichtbarkeit bei eBay Großbritannien
eBay UK (ebay.co.uk),eBay Großbritannien (ebay.co.uk)
International Shipping,Versand: Ausland
No International Shipping,Kein internationaler Versand
Promotional Shipping Rule:,Regel für Versandaktionen:
Measurement System,Einheitensystem
"English (lbs, oz, in)","Englisch (Pfund, Unzen, Zoll)"
"Metric (kg, g, cm)","Metrisch (kg, g, cm)"
Package Size Source,Paketgröße
eBay Values,eBay-Werte
Package Size,Paketgröße
"If you don't know your package type, select the ""Large package"" option.","Wenn Ihnen der Pakettyp nicht bekannt ist, dann wählen Sie bitte die Option „Großes Paket”."
Package Size Attribute,Attribut für Paketgröße
The Package Size Attribute must have package ID as value.,Das Attribut für die Paketgröße muss eine Paket-ID als Wert haben.
Dimension Source,Abmessungen
Dimensions (Width/Height/Depth),Abmessungen (Breite/Höhe/Tiefe)
inches,Zoll
cm,cm
Weight Source,Gewicht
Weight Attribute,Attribut für Gewicht
The Weight Attribute must have the weight of the item.,Das Attribut für das Gewicht muss dem Gewicht des Artikels entsprechen.
lbs. oz.,Pfund Unzen
kg. g.,kg. g.
Weight,Gewicht
Postal code for the location from which the package will be shipped.,"Die Postleitzahl für den Ort, von dem aus Ihr Paket versendet wird."
Free,Kostenlos
Calculated,Berechnet
The category <b>%cat%</b> doesn't have Item Specific.,Die Kategorie <b>%cat%</b> verfügt über keine Artikelmerkmale.
Only Text Area type attributes are allowed.,Nur Attribute vom Typ Textfeld sind zulässig.
Item Condition,Artikelzustand
"The Item Condition setting depends on the way of the Primary Category choosing.
        If it is chosen from eBay Categories list, the list of Item Condition is uploaded from eBay and you are required to choose from it.
        If the Primary Category is set via Custom Attribute, the list of attributes related to the previously chosen Attribute Set is uploaded and
        you are required to choose the Item Condition by choosing appropriate attribute.<br/><br/>
        <b>Note:</b> Attribute must contain an ID of the Item Condition.","Die Einstellungen des Artikelzustands hängen von der Wahl der Hauptkategorie ab.
        Wenn diese aus der Liste der eBay-Kategorien ausgewählt wird, wird die Liste der Artikelzustände ebenfalls aus eBay geladen und Sie müssen daraus auswählen.
        Wenn die Hauptkategorie mithilfe eines benutzerdefinierten Attributs festgelegt wird, wird die mit dem zuvor ausgewählten Attributdatensatz verknüpfte Liste von Attributen geladen und
        Sie müssen den Artikelzustand durch Auswahl des passenden Attributs festlegen.<br/><br/>
        <b>Hinweis:</b> Das Attribut muss eine ID des Artikelzustands beinhalten."
Condition,Artikelzustand
Item Condition Mode,Modus für Artikelzustand
eBay Conditions,Artikelzustände bei eBay
Custom Attributes,Benutzerdefinierte Attribute
Condition of the product(s) you want to list on eBay,"Der Zustand des Produkts/der Produkte, das/die Sie bei eBay einstellen möchten"
Item Condition Attribute,Attribut für Artikelzustand
The Condition Attribute must have condition ID as value.,Das Attribut für den Artikelzustand muss eine Zustands-ID als Wert haben.
Product Details,Produktdetails
"To make easier finding your Listing in eBay search results specify products' identifiers,
        such as ISBN, ePID (Product Reference ID), UPC, EAN.
        <br/>Use the Custom Value option to enter necessary value, or choose a Custom Attribute that contains it.<br/><br/>
        <b>Note:</b> These options correspond to the Primary eBay Category, NOT the Secondary Category.","Damit Ihr Angebot besser und leichter in eBay-Suchergebnissen gefunden wird, können Sie Produktkennungen,
        wie die ISBN, ePID (Produktreferenz-ID), UPC oder EAN angeben.
        <br/>Verwenden Sie die Option für benutzerdefinierte Werte, um die richtigen Werte einzugeben oder wählen Sie ein benutzerdefiniertes Attribut, das die Werte enthält.<br/><br/>
        <b>Hinweis:</b> Diese Optionen sind für die eBay-Hauptkategorie verfügbar, nicht für die Zweitkategorie."
ISBN,ISBN
"Unique books' identifier, includes 10 or 13 characters.",Die eindeutige Standardbuchnummer besteht aus 10 oder 13 Zeichen.
Choose the ISBN attribute that contains unique books' identifier.,"Wählen Sie das ISBN-Attribut, das die eindeutige Standardbuchnummer enthält."
ePID (Product Reference ID),ePID (Produktreferenznummer)
The eBay's short global reference ID for a catalog product. i.e. EPID235742 or 235742,eBays kurze globale Referenznummer für Katalogprodukte. z. B. EPID235742 oder 235742
Choose the ePid attribute that contains eBay's short global reference ID.,"Wählen Sie das ePID-Attribut, das die kurze globale Referenznummer von eBay enthält."
UPC,UPC
Unique 12-character identifier that many industries use to identify products.,"Eindeutige 12-stellige Strichcodenummer, die in vielen Branchen zur Kennzeichnung von Produkten verwendet wird."
Choose the UPC attribute that contains unique 12-character identifier.,"Wählen Sie das UPC-Attribut, das den eindeutigen 12-stelligen Produktcode enthält."
EAN,EAN
Unique 8 or 13 digit identifier that many industries (such as book publishers) use to identify products.,"Eindeutige 8- oder 13-stellige Artikelnummer, die in vielen Branchen (z. B. im Verlagswesen) zur Kennzeichnung von Produkten verwendet wird."
Choose the EAN attribute that contains unique 8 or 13 digit identifier.,"Wählen Sie das EAN-Attribut, das die eindeutige 8- oder 13-stellige Artikelnummer enthält."
"Adding specific item details will attract your buyers and help them to find your item in a search.
        You can set item detail from the list uploaded from eBay by choosing eBay Recommended option, or create custom detail
        by choosing the Custom Attribute    that contains the item specific ID or typing necessary text into the Custom Value field.<br/><br/>
        <b>Note:</b> These options correspond to the Primary eBay Category, NOT the Secondary Category.","Fügen Sie Ihrem Angebot Informationen und Details hinzu, um das Interesse von Käufern zu wecken und diesen zu helfen, Ihr Angebot leichter zu finden.
        Sie können die Artikeldetails mithilfe der von eBay geladenen Liste festlegen, indem Sie die Option „von eBay empfohlen“ wählen, oder eigene Details angeben,
            indem Sie das benutzerdefinierte Attribut      mit der Artikelmerkmal-ID wählen oder den passenden Text in das Feld für Ihre eigene Beschreibung eingeben.<br/><br/>
        <b>Note:</b> Diese Optionen sind für die eBay-Hauptkategorie verfügbar, nicht für die Zweitkategorie."
Name,Name
Value,Wert
&nbsp;,&nbsp;
Add more information to help buyers find your item in search results.,"Fügen Sie weitere Informationen hinzu, damit potenzielle Käufer Ihren Artikel leicht finden können."
Compatibility,Kompatibilität
"Parts compatibility is a better way for sellers to list parts that fit a variety of vehicles. This format adds standard information to your listing. You can create one listing describing a single part and add a complete list of compatible vehicles.
    <br/><br/><u>To use this feature you have to:</u>
     <ul class=""list"">
        <li>In the section below choose the attribute, which will be used for saving ePIDs (Product Reference IDs) of compatible vehicles.</li>
        <li>In created M2E listing on the 'View Listing' page use the <b>Add Compatible Vehicles tool</b> to find necessary compatible items.</li>
    </ul>
"," Die Option „Kompatibilität von Ersatzteilen“ unterstützt Verkäufer dabei, Ersatzteile einzustellen, die für eine Vielzahl von Fahrzeugen geeignet sind.  Dieses Format fügt Ihrem Angebot Standardinformationen hinzu. Sie können ein Angebot erstellen, das ein einzelnes Ersatzteil beschreibt, und diesem eine vollständige Liste kompatibler Fahrzeuge hinzufügen.
    <br/><br/><u>Um diese Funktion verwenden zu können, müssen Sie:</u>
     <ul class=""list"">
        <li>Im unten stehenden Abschnitt das Attribut auswählen, das zum Speichern der ePIDs (Produktreferenznummern) kompatibler Fahrzeuge verwendet wird.</li>
        <li>Verwenden Sie im erstellten M2E-Angebot auf der Seite „Angebot anzeigen“ das <b>Tool zum Hinzufügen kompatibler Fahrzeuge</b>, um die erforderlichen kompatiblen Artikel zu finden.</li>
        </ul>
"
Compatibility Attribute,Kompatibilitätsattribut
Choose only Text Area type attribute.,Wählen Sie ausschließlich ein Attribut vom Typ Textfeld aus.
eBay Recommended,Von eBay empfohlen
Custom Label / Attribute,Lagerhaltungsnummer/Attribut
"To stand out your Listing from others use eBay standard tools.<br/><br/>
    <b>Note:</b> These features come with additional eBay fees.","Mit den eBay-Standardtools verleihen Sie Ihrem Angebot eine besondere Note, damit es sich von anderen Angeboten abhebt.<br/><br/>
    <b>Hinweis:</b> Diese Funktionen sind gegen zusätzliche Gebühren verfügbar."
Upgrade Tools,eBay-Tools
Value Pack,Basispaket
Value Pack Bundle,Basispaket-Produktbündel
"Combine Gallery, Subtitle, and Listing Designer and you will get a discount.","Kombinieren Sie Galerie-, Untertitel- und Angebotsvorlagen und erhalten Sie einen speziellen Rabatt."
Bold Title,Artikelbezeichnung in Fettdruck
Bolding your listing title.,Formatieren Sie Ihre Artikelbezeichnung in Fettdruck.
Highlight,Highlight
Adding an eye-catching background to your listing in search results.,Machen Sie Ihr Angebot mit einem prägnanten Hintergrundbild zu einem Hingucker in den Suchergebnissen.
Gallery Type,Galerietyp
Gallery Picture,Galeriebild
Gallery Plus,Galerie Plus
Gallery Featured,Top-Angebot in Galerie
Adding listing's pictures using different modes in search results.,"Verwenden Sie verschiedene Modi, um Ihren Angeboten in den Suchergebnissen Bilder hinzuzufügen."
"Selling Format Template contains information about Listings types, quantity, duration and price-related data for the items,
    which will be listed on eBay.
    <br/>
    <br/>Next to each price options dropdown there is a box for Price Change. Price Change is a value you want the Magento Price to be modified while listing on eBay. <br/><br/>
    <i><b>Examples:</b></i><br/>
    If you want the price on eBay to be greater by 15% than the price in Magento, you should set +15% in the Price Change field.<br/>
    <i>eBay Price = Magento Price + Magento Price * 0.15</i><br/>
    If you want the price on eBay to be less by 10 currency units than the price in Magento, you should set -10 in the Price Change field.<br/>
    <i>eBay Price = Magento Price - 10</i><br/>
    If you want the price on eBay to be multiplied by coefficient 1.2, you should set 1.2 in the Price Change field.<br/>
    <i>eBay Price = Magento Price * 1.2.</i><br/><br/>

    <b>Note:</b>     If the Special Price is chosen, but it is not set in Magento Product settings or it is set but it has already expired, the Product Price is used instead.
    <br/>
    <br/>
    You can also enable the Best Offer feature for Fixed Price type listings and fill two additional options of automatic responding: Accept Best Offer and Decline Best Offer.<br/>
    These options can be set by entering percentages of Buy It Now price or choosing appropriate custom attributes, which contain necessary price values.
    <br/><br/><b>Note:</b> Attributes must contain only numeric values.","Die Angebotsformatvorlage enthält Daten zu Angebotstypen, Stückzahlen, Angebotsdauer und preisbezogenen Daten zu den Artikeln,
    die bei eBay eingestellt werden.
    <br/>
    <br/>Neben den einzelnen Dropdown-Menüs für die Preisoptionen befindet sich ein Kästchen für Preisänderungen. In den Preisänderungen können Sie Werte festlegen, falls Sie den Preis aus Magento-Angeboten beim Einstellen bei eBay ändern möchten. <br/><br/>
    <i><b>Beispiele:</b></i><br/>
    Wenn Sie möchten, dass der Preis bei eBay 15 % höher ist als der Preis in Magento, können Sie „+15 %“ als Wert im Feld „Preisänderung“ festlegen.<br/>
    <i>eBay-Preis = Magento-Preis + Magento-Preis x 0,15</i><br/>
Wenn Sie möchten, dass der Preis bei eBay 10 Währungseinheiten (z. B. Euro) unterhalb des Preises in Magento liegen soll, können Sie „-10“ als Wert im Feld „Preisänderung“ eingeben.<br/>
    <i>eBay-Preis = Magento-Preis - 10</i><br/>
    Wenn Sie möchten, dass der Preis bei eBay mit dem Wert 1,2 multipliziert werden soll, geben Sie den Wert „1,2“ im Feld „Preisänderung“ ein.<br/>
    <i>eBay-Preis = Magento-Preis x 1,2.</i><br/><br/>

    <b>Hinweis:</b>     Wenn Sie den Sonderpreis wählen, die Option aber nicht in den Produkteinstellungen in Magento festgelegt wurde oder bereits abgelaufen ist, wird stattdessen der normale Produktpreis verwendet.
    <br/>
    <br/>
    Alternativ können Sie die Preisvorschlagfunktion für Festpreisangebote aktivieren und zwei zusätzliche Optionen für automatische Antworten definieren: „Preisvorschlag annehmen“ und „Preisvorschlag ablehnen“.<br/>
    Sie können diese Optionen festlegen, indem Sie einen Prozentsatz des Sofort-Kaufen-Preises eingeben oder passende benutzerdefinierte Attribute verwenden, die die entsprechenden Preiswerte enthalten.
    <br/><br/><b>Hinweis:</b> Attribute dürfen nur numerische Werte enthalten."
The fixed price for immediate purchase.,Der Festpreis für den Sofort-Kauf.
The fixed price for immediate purchase.<br/><b>Note:</b> The Final Price is only used for Simple Products.,Der Festpreis für den Sofort-Kauf.<br/><b>Hinweis:</b> Der Verkaufspreis wird nur für einfache Produkte verwendet.
The starting price at which bidding begins.,"Der Startpreis, mit dem das Bieten beginnt."
The starting price at which bidding begins.<br/><b>Note:</b> The Final Price is only used for Simple Products.,"Der Startpreis, mit dem das Bieten beginnt.<br/><b>Hinweis:</b> Der Verkaufspreis wird nur für einfache Produkte verwendet."
The lowest price at which you are selling an item.,"Der niedrigste Preis, zu dem Sie einen Artikel verkaufen möchten."
The lowest price at which you are selling an item.<br/><b>Note:</b> The Final Price is only used for Simple Products.,"Der niedrigste Preis, zu dem Sie einen Artikel verkaufen möchten.<br/><b>Hinweis:</b> Der Verkaufspreis wird nur für einfache Produkte verwendet."
Coefficient is not valid.,Koeffizient ist nicht gültig.
Listing Type,Angebotstyp
Auction,Auktion
Fixed Price,Festpreis
How you want to sell your item.,"Hier legen Sie fest, in welchem Angebotsformat Sie Ihren Artikel verkaufen möchten."
Listing Type Attribute,Angebotstyp-Attribut
"Attribute must contain ID. ID for Fixed price is FixedPriceItem, for Auction is Chinese.",Das Attribut muss eine ID enthalten. Die ID für Festpreisangebote lautet „FixedPriceItem“ und „Chinese“ für das Auktionsformat.
Private Listing,Angebot mit nicht öffentlicher Bieter-/Käuferliste
If <i>Yes</i> selected the buyers remain anonymous to other eBay users.,"Wenn Sie <i>Ja</i> auswählen, sind die Käufer nicht für andere eBay-Mitglieder sichtbar."
Quantity and Duration,Stückzahl und Dauer
Listing Duration,Angebotsdauer
day,Tage
GTC,Gültig bis auf Widerruf
How long your eBay listings will be active.,"Die Dauer, für die Ihre eBay-Angebote aktiv sind."
Attribute must contain a whole number. If you choose GTC the attribute must contain 100.,"Das Attribut muss eine ganze Zahl enthalten. Wenn Sie „gültig bis auf Widerruf“ wählen, muss das Attribut den Wert „100“ enthalten."
Single Item,Bei einzelnem Artikel
Custom QTY Number,Mengenangabe für eigene Stückzahl
Custom QTY Attribute,Attribut für eigene Stückzahl
Products quantity in eBay listing.,Produktstückzahl im eBay-Angebot.
TODO TEXT,ZU ERLEDIGEN-TEXT
Currency,Währung
The currency for items price(s). Must correspond to eBay Marketpace.,Die Währung für den/die Artikelpreis(e). Muss der Währung des eBay-Marktplatzes entsprechen.
Start Price,Startpreis
