About,Acerca de
Customer Group For Final Price,Grupo de clientes para Precio final
"This block appears when the <b>Final Price</b> is chosen in the Price option(s).
                <br/>
                The Final Price means that the price, that will be sent to eBay, is calculated according to Catalog Price Rules. So eBay buyers can buy your products at Magento Store Price.
                <br/><br/>
                <b>Note:</b> If there is a Special Price on a product and conditions are met for Catalog Price Rule to be applied, the <u>smaller</u> price from the Special and price calculated according to Catalog Price Rules will be set.
                <br/>
                If the Final Price is set, but any of Catalog Price Rules is not applied, the Special Price will be chosen, if there is no Special Price on the product, the Products Price will be set.
                <br/><br/>
                For correct definition Price Rule, which must be applied, you have to specify the <b>Customer Group</b> your eBay buyers will be associated to.
                ","Este bloque aparece al elegir <b>Precio final</b> en las opciones de precio.
                <br/>
                La opción Precio final significa que el precio, que se enviará a eBay, se calcula en función de las reglas de precios del catálogo. De esta forma, los compradores de eBay pueden comprar tus productos al precio de la tienda Magento.
                <br/><br/>
                <b>Nota</b>: si se ha asignado la opción de Precio especial a un producto y se cumplen las condiciones para aplicar la regla de precios del catálogo, se establecerá el precio que sea <u>más bajo</u> entre el especial y el calculado en función de las reglas de precios del catálogo.
                <br/>
                Si se ha establecido el Precio final, pero no se aplica alguna de las reglas de precios del catálogo, se elegirá el Precio especial; en caso de que el producto no tenga Precio especial, se establecerá la opción de Precio del producto.
                <br/><br/>
                Para una correcta definición de la regla de precios que deberá aplicarse, debes especificar el <b>Grupo de clientes</b> al que se asociarán tus compradores de eBay.
                "
Best Offer,Mejor oferta
Allow Best Offer,Permitir Mejor oferta
Allows buyers to send their Best Offers for your consideration.,Permitir que los compradores te envíen sus Mejores ofertas para que las consideres.
Automatically Accept Offers of at Least,Aceptar automáticamente ofertas de al menos
"% of ""Buy It Now"" Price",% del precio ¡Cómpralo ya!
Price from Custom Attribute,Precio de Atributo personalizado
Percentage (%),Porcentaje (%)
"Percentage of ""Buy It Now"" Price. Do not use %-sign in this field.",Porcentaje del precio ¡Cómpralo ya!. No uses el símbolo % en este campo.
Price Custom Attribute,Atributo personalizado de precio
Choose an Attribute that contains an appropriate price value.,Elige un atributo que contenga un valor de precio adecuado.
Automatically Decline Offers Less than,Rechazar automáticamente ofertas inferiores a
"Synchronization Template includes rules and conditions which determine Listing behavior on eBay.<br/>
    Activation / Deactivation Actions, Revise, Relist and Stop Rules should be specified in this template.<br/><br/>
    <b>Note:</b> Templates Synchronization setting must be enabled in Synchronization (Configuration > Synchronization).
    Otherwise, Synchronization Template Rules will not take effect.
    <ul class=""list"">
        <li><b>Activation Actions</b> - actions to be executed only once for each Listing when the Synchronization Template is activated.</li>
        <li><b>Deactivation Actions</b> - actions to be executed only once for each Listing when the Synchronization Template is deactivated.</li>
    </ul>","La plantilla de sincronización incluye reglas y estados que determinan el comportamiento del anuncio en eBay.<br/>
    En esta plantilla deben especificarse acciones de activación/desactivación, así como reglas de modificación, para volver a poner en venta y de detención.<br/><br/>
    <b>Nota:</b> la configuración de Sincronización de plantillas debe activarse en Sincronización (Configuración > Sincronización).
    De lo contrario, las reglas de la plantilla de sincronización no entrarán en vigor.
    <ul class=""list"">
        <li><b>Acciones de activación</b>: acciones que se ejecutan solamente una vez para cada anuncio cuando la plantilla de sincronización está activada.</li>
        <li><b>Acciones de desactivación</b>: acciones que se ejecutan solamente una vez para cada anuncio cuando la plantilla de sincronización está desactivada.</li>
    </ul>"
Wrong time format string.,Cadena de formato de hora errónea.
Activation Actions,Acciones de activación
List All Items Automatically,Poner todos los artículos en venta automáticamente
Choose <i>No</i> only if you intend to list items manually.,Elige <i>No</i> solamente si tienes intención de poner los artículos en venta manualmente.
Deactivation Actions,Acciones de desactivación
Stop Listed Items Automatically,Detener los artículos puestos en venta automáticamente
Choose <i>No</i> only if you intend to keep items listed after Synchronization is deactivated.,Elige <i>No</i> solamente si tienes intención de mantener los artículos en venta tras desactivar la sincronización.
"Relist Rules define the conditions and schedule when the eBay items have to be relisted.<br/>
    <ul class=""list"">
        <li><b>Relist Conditions</b> - the conditions at which the Relist Action will be launched.</li>
        <li><b>Relist Schedule</b> - the schedule of relisting after the end of the initial listing period. It is possible to relist items immediately, after a certain period of time or on certain days of the week that follows.</li>
    </ul>","Las reglas para volver a poner en venta definen las condiciones para volver a poner en venta los artículos de eBay y la programación correspondiente.<br/>
    <ul class=""list"">
        <li><b>Condiciones para volver a poner en venta</b>: condiciones en las que se iniciará la acción de volver a poner en venta.</li>
        <li><b>Programación de puesta en venta</b>: la programación para volver a poner en venta tras la finalización del periodo de vigencia inicial. Los artículos pueden volver a ponerse en venta inmediatamente, tras un periodo de tiempo determinado o en ciertos días de la semana siguiente.</li>
    </ul>"
"Enables/Disables the Relist action for the Listings, which use current Synchronization Template.",Activa/desactiva la acción Volver a poner en venta para los anuncios que usan la plantilla de sincronización actual.
List Action,Acción Poner en venta
"Automatically lists Not Listed items, if they meet the Relist Conditions.",Pone automáticamente en venta los artículos que no lo están si cumplen las condiciones para volver a ponerse en venta.
"Updates Title, Subtitle, Description, Price, QTY and Shipment on eBay Listings.<br/>If <i>No</i> is selected, eBay Listing(s) with existing data on eBay is relisted.","Actualiza la información de Título, Subtítulo, Descripción, Precio, Cantidad y Envío en los anuncios de eBay.<br/>Si seleccionas <i>No</i>, se vuelven a poner en venta los anuncios de eBay con datos existentes en eBay."
Relist Schedule,Programación para volver a poner en venta
Delay after End,Retraso tras finalizar
Days of Week,Días de la semana
"The schedule of item(s) relisting, when the Relist Conditions are met.","Programación para volver a poner en venta los artículos, si se cumplen las condiciones para hacerlo."
Days,días
Hours,horas
Minutes,minutos
"In how many days, hours or minutes relisting have to start.","Cantidad de días, horas o minutos para volver a poner en venta."
Monday,Lunes
Tuesday,Martes
Wednesday,Miércoles
Thursday,Jueves
Friday,Viernes
Saturday,Sábado
Sunday,Domingo
On what days of the week that follows the end of initial listing period the items have to be relisted.<br/>(Hold Ctrl button for choosing two or more.),Días de la semana siguiente al final del período de venta inicial en los que se deben volver a poner en venta los artículos.<br/>(Mantén pulsada la tecla Ctrl para elegir dos o más).
Time Interval,Intervalo de tiempo
"Sets a time interval, during that the item(s) have to be relisted if the Relist Conditions are met.","Establece el intervalo de tiempo durante el que los artículos se tienen que volver a poner en venta, si se cumplen las condiciones para hacerlo."
Start Time (hh:mm),Hora de inicio (hh:mm)
hh:mm format (i.e. 20:15).,"Formato hh:mm (por ejemplo, 20:15)."
End Time (hh:mm),Hora de finalización (hh:mm)
hh:mm format (i.e. 21:30).,"Formato hh:mm (por ejemplo, 21:30)."
"Revise Rules are the conditions, at which automatic full and partial listings revising features are enabled.
<br/>If the certain condition is enabled (<i>Yes</i> is chosen in appropriate line) and met,
then eBay Listings, which were listed using current Synchronization Template,
will be automatically fully or partially updated.<br/>
    <ul class=""list"">
        <li><b>Partial Revise</b> - contains list of product details, which changes you want to be reflected on eBay.</li>
        <li><b>Full Revise</b> - contains list of M2E Templates. If any information of the templates is changed, then listings, which use these templates in their settings, will be automatically fully revised.</li>
    </ul>","Las reglas de revisión son las condiciones por las que se activan las funciones de modificación automática completa y parcial de anuncios.
<br/>Si se activa una condición determinada (se elige <i>Sí</i> en la línea correspondiente) y esta se cumple,
los anuncios de eBay puestos en venta que usan la plantilla de sincronización actual
se actualizarán por completo o parcialmente de forma automática.<br/>
    <ul class=""list"">
        <li><b>Modificación parcial</b>: contiene una lista de detalles del producto cuyos cambios deseas reflejar en eBay.</li>
        <li><b>Modificación completa</b>: contiene una lista de plantillas de M2E. En caso de que se modifique cualquier dato de las plantillas, los anuncios para cuya configuración se hayan usado dichas plantillas se modificarán por completo de forma automática.</li>
    </ul>"
Automatically revises quantity on eBay listing(s) when the quantity or attribute for quantity of its product is changed in Magento.,Modifica automáticamente la cantidad en los anuncios de eBay cuando la cantidad o el atributo de la cantidad del producto se cambia en Magento.
Automatically revises price on eBay listing(s) when the price(s) or attribute(s) for price(s) of its product is (are) changed in Magento.,Modifica automáticamente el precio en los anuncios de eBay cuando el precio o los atributos de los precios del producto se cambian en Magento.
Automatically revises title of eBay listing(s) when the name or attribute(s) used for its title is (are) changed in Magento.,Modifica automáticamente el título de los anuncios de eBay cuando el nombre o los atributos usados para el título se cambian en Magento.
Automatically revises subtitle of eBay listing(s) when attribute(s) used for subtitle is (are) changed in Magento.,Modifica automáticamente el subtítulo de los anuncios de eBay cuando los atributos usados para el subtítulo se cambian en Magento.
Automatically revises description of eBay listing(s) when at least one of products descriptions attributes changes in Magento.,Modifica automáticamente la descripción de los anuncios de eBay cuando al menos uno de los atributos de descripciones de los productos se cambia en Magento.
Full Revise,Revisión completa
Automatically revises eBay listing(s) if its Selling Format Template was changed.,Modifica automáticamente los anuncios de eBay si se cambió su plantilla de formato de venta.
Automatically revises eBay listing(s) if its Description Template was changed.,Modifica automáticamente los anuncios de eBay si se cambió su plantilla de descripción.
Automatically revises eBay listing(s) if its General Template was changed.,Modifica automáticamente los anuncios de eBay si se cambió su plantilla general.
"Stop Rules define the conditions when eBay items listing should be
    stopped, depending on Magento product state.<br/><br/>
    <b>Note:</b> If all Stop Conditions are set to <i>No</i> or <i>No Action</i>, then the stop option for eBay items is disabled.<br/>
    If all Stop Conditions are enablled, then an item will be stopped if at least one of the Stop Conditions is met.","Las reglas de detención definen las condiciones que deben cumplirse para que se detengan los anuncios de artículos de
    eBay, dependiendo del estado del producto de Magento.<br/><br/>
    <b>Nota:</b> si todas las condiciones de detención están establecidas como <i>No</i> o <i>Ninguna acción</i>, la opción de detención de los artículos de eBay se desactiva.<br/>
    Si todas las condiciones de detención están activadas, un artículo se detendrá si se cumple al menos una de dichas condiciones."
"<strong>eBay settings were successfully set up.</strong> <br/><br/>
        Now you can continue working with extension. You can see below the short instructions, you may follow to start
        listing on %s quickly.<br/> The more detailed information can be found in the <a href=""%s"" target=""_blank"">Documentation</a>.<br/><br/>

        <strong>The next steps you need to perform are:</strong><br/><br/>

        <span style=""text-decoration: underline;""><strong>1)</strong> Selling Format Template creation:</span><br/>
        Navigate to %s > Templates > <a href=""%s"" target=""_blank"">Selling Format Templates</a>,
        Press on the Add Selling Format Template button;
        Fill in all necessary data;
        Save the template.<br/><br/>

        <span style=""text-decoration: underline;""><strong>2)</strong> Description Template creation:</span><br/>
        Navigate to %s > Templates > <a href=""%s"" target=""_blank"">Description Templates</a>;
        Press on the Add Description Template button;
        Fill in all necessary data;
        Save the template.<br/><br/>

        <span style=""text-decoration: underline;""><strong>3)</strong> General Template creation:</span><br/>
        Navigate to %s > Templates > <a href=""%s"" target=""_blank"">General Templates</a>;
        Press on the Add General Template button;
        Fill in all necessary data;
        Save the template.<br/><br/>

        <span style=""text-decoration: underline;""><strong>4)</strong> Synchronization Template creation:</span><br/>
        Navigate to %s > Templates > <a href=""%s"" target=""_blank"">Synchronization Templates</a>;
        Press on the Add Synchronization Template button;
        Fill in all necessary data;
        Save the template.<br/><br/>

        After completing these four necessary steps, you can start to create Listings (%s > Manage

        Listings > <a href=""%s"" target=""_blank"">Listings</a>), add Magento products to them and list on %s.<br/>","<strong>eBay se configuró correctamente.</strong> <br/><br/>
        Ahora puedes seguir trabajando con la extensión. A continuación se describen brevemente las instrucciones que puedes seguir para comenzar
        a anunciar en %s rápidamente.<br/> Puedes encontrar instrucciones más detalladas en la <a href=""%s"" target=""_blank"">documentación</a>.<br/><br/>

        <strong>Los siguientes pasos que debes realizar son:</strong><br/><br/>

        <span style=""text-decoration: underline;""><strong>1)</strong> Creación de una plantilla de formato de venta:</span><br/>
        ve a %s > Plantillas > <a href=""%s"" target=""_blank"">Plantillas de formato de venta</a>.
        Pulsa el botón Añadir plantilla de formato de venta.
        Rellena todos los datos necesarios.
        Guarda la plantilla.<br/><br/>

        <span style=""text-decoration: underline;""><strong>2)</strong> Creación de una plantilla de descripción:</span><br/>
        ve a %s > Plantillas > <a href=""%s"" target=""_blank"">Plantillas de descripción</a>.
         Pulsa el botón Añadir plantilla de descripción.
        Rellena todos los datos necesarios.
        Guarda la plantilla.<br/><br/>

        <span style=""text-decoration: underline;""><strong>3)</strong> Creación de una plantilla general:</span><br/>
        ve a %s > Plantillas > <a href=""%s"" target=""_blank"">Plantillas generales</a>.
        Pulsa el botón Añadir plantilla general.
        Rellena todos los datos necesarios.
        Guarda la plantilla.<br/><br/>

        <span style=""text-decoration: underline;""><strong>4)</strong> Creación de una plantilla de sincronización:</span><br/>
        ve a %s > Plantillas > <a href=""%s"" target=""_blank"">Plantillas de sincronización</a>.
        Pulsa el botón Añadir plantilla de sincronización.
        Rellena todos los datos necesarios.
        Guarda la plantilla.<br/><br/>

        Una vez completados estos cuatro pasos necesarios, puedes empezar a crear anuncios (%s > Gestionar

        anuncios > <a href=""%s"" target=""_blank"">Anuncios</a>), añadir productos de Magento a estos y poner en venta en %s.<br/>"
Accounts Set Up,Configuración de cuentas
Adding your eBay accounts to M2E Pro extension.,Añade tus cuentas de eBay a la extensión M2E Pro.
Marketplaces Set Up,Configuración de mercados
You need to choose the marketplaces you are going to sell on.,Debes elegir los mercados en los que vas a vender.
3rd Party Synchronization Set Up,Configuración de la sincronización de terceros
"Set up Synchronization rules according to which auto and manual 3rd Party Listings Synchronization will be performed.
                <br/>
                <b>Note:</b> The 3rd Party Listings Synchronization has to be enabled in %s -> Configuration -> Synchronization to allow 3rd party listings to be imported from eBay.","Configura reglas de sincronización que determinen cómo realizar la sincronización automática y manual de los anuncios externos.
                <br/>
                <b>Nota</b>: para poder importar anuncios externos de eBay, debe activarse la sincronización de anuncios externos en %s -> Configuración > Sincronización."
Synchronization Set Up,Configuración de la sincronización
Setting up preferences of data synchronization.,Configura las preferencias de la sincronización de datos.
Skip Wizard,Omitir asistente
"Click
            <a href=""%s"">Start Configuration</a> Wizard to quickly set up eBay settings or
            <a href=""%s"" onclick=""%s"">Skip</a> it if you intend to set up it later. <br/>
            <strong>Note:</strong> If you close the Wizard now, you will have to set up eBay settings manually.","Pulsa
            el asistente para <a href=""%s"">Iniciar configuración</a> si deseas configurar rápidamente los valores de eBay o bien 
            <a href=""%s"" onclick=""%s"">Omitir</a> para configurarlos más tarde. <br/>
            <strong>Nota</strong> : si cierras el asistente ahora, tendrás que configurar los valores de eBay manualmente."
eBay Channel,Canal de eBay
"This part of extension allows quick and simple creation as well as management of product listings on eBay
        (inc. automated synchronization of stock levels, pricing, and product details), import of eBay Transactions, automated
        feedback posting for buyers and many other tasks which significantly reduce time required for listing maintenance.","Esta parte de la extensión permite crear y gestionar de forma rápida y sencilla los anuncios de productos en eBay
        (incluyendo la sincronización automática de los niveles de existencias, los precios y los detalles de los productos), importar las transacciones de eBay, enviar
        votos automáticamente a los compradores, así como muchas otras tareas que reducen significativamente el tiempo requerido para la gestión de anuncios."
Complete Wizard,Finalizar el asistente
"Part Compatibility feature for <b>eBay Motors</b> was added in current version.
            <br/>
            If you intend to use it, update
            <a href=""%s"" target=""_blank"">eBay Motors</a> marketplace, if no,
            <a href=""%s"">disregard</a> this message.
            <br/><br>
            To find out how to use this option see our
            <a href=""%s"" target=""_blank"">documentation</a>.","La función de compatibilidad de piezas para <b>eBay Motor</b> se ha añadido en la versión actual.
            <br/>
            Si tienes intención de usarla, actualiza el mercado de 
            <a href=""%s"" target=""_blank"">eBay Motor</a>; en caso contrario, 
            <a href=""%s"">ignora</a> este mensaje.
            <br/><br>
            Para aprender a usar esta opción, consulta nuestra
            <a href=""%s"" target=""_blank"">documentación</a>."
"Task ""Orders Receive Synchronization"" for Rakuten.com ""%acc%"" Account and ""%mrk%"" marketplace is started. Please wait...","Se ha iniciado la tarea ""Sincronización de recepción de pedidos"" para la cuenta ""%acc%"" de Rakuten.com y el mercado ""%mrk%"". Por favor, espera..."
"Task ""Orders Update Synchronization"" for Rakuten.com ""%acc%"" Account and ""%mrk%"" marketplace is started. Please wait...","Se ha iniciado la tarea ""Sincronización de actualización de pedidos"" para la cuenta ""%acc%"" de Rakuten.com y el mercado ""%mrk%"". Por favor, espera..."
Attention! By deleting account you delete all information on it from M2E Pro server. This will cause inappropriate work of all accounts' copies.,"¡Atención! Al eliminar la cuenta, eliminas toda la información que contiene del servidor M2E Pro. Esto provocará un funcionamiento inadecuado en las copias de todas las cuentas."
The product will be listed as a simple product as it has limitation for multi-variation items. Reason:sum of quantities of all possible products options more than 250.,"El producto se pondrá en venta como producto simple, ya que existe una limitación para los artículos con diferentes variantes. Motivo: la suma de las cantidades de todas las opciones de productos posibles es superior a 250."
Method of adding a new entity is not defined.,El método para añadir una nueva entidad no está definido.
"Listings, which have the same Attribute Set, Marketplace and Account were not found.","No se han encontrado anuncios que tengan el mismo conjunto de atributos, el mismo mercado y la misma cuenta."
"Listings, which have the same Marketplace and Account were not found.",No se han encontrado anuncios que tengan el mismo mercado y la misma cuenta.
Would you like to create one with default settings ?,¿Quieres crear uno con la configuración predeterminada?
Moving Rakuten.com Items.,Mover artículos de Rakuten.com.
"Current Rakuten.com version only supports simple products. Please, choose simple product.",La versión actual de Rakuten.com solo permite la asignación de productos simples. Elige un producto simple.
List,Poner un artículo en venta
Revise,Modificar
Relist,Volver a poner en venta
Stop,Detener
Stop And Remove,Detener y eliminar
Delete And Remove,Borrar y eliminar
Conditions,Condiciones
Rakuten (Beta),Rakuten (beta)
Component is not set.,El componente no está establecido.
Bundle Items,Artículos de conjunto
Links,Vínculos
Associated Products,Productos asociados
Custom Options,Opciones personalizadas
Message,Mensaje
Create Date,Fecha de creación
Update Now,Actualizar ahora
Send Message,Enviar mensaje
Search Results,Resultados de la búsqueda
Knowledge Base,Base de conocimientos
Contact Support,Contactar con Atención al cliente
Add,Añadir
Cancel Confirmation,Cancelar confirmación
Edit Translation,Editar traducción
Congratulations! (Magento Multi-Channels Integration),¡Enhorabuena! (Integración de varios canales de Magento)
Configuration Wizard (Magento Multi-Channels Integration),Asistente de configuración (Integración de varios canales de Magento)
Welcome to M2E Pro - Magento Multi-Channels Integration!,Bienvenido a Integración de varios canales de M2E Pro - Magento.
"The token for ""%s"" eBay Account has been expired.
                        <br>
                        Please, go to %s > Configuration > eBay Account > <a href=""%s"" target=""_blank"">General TAB</a>,
                        click on the Get Token button. (You will be redirected to the eBay website.)
                        Sign-in and press I Agree on eBay page.
                        Do not forget to press Save button after returning back to Magento","El código de la cuenta de eBay ""%s"" ha caducado.
                        <br>
                        Ve a %s > Configuración > Cuenta de eBay > <a href=""%s"" target=""_blank"">pestaña General</a>,
                        pulsa Obtener código personal. (Accederás al sitio Web de eBay.)
                        Identifícate y pulsa Acepto en la página de eBay.
                        No olvides pulsar el botón Guardar después de volver a Magento"
"Attention! The token for ""%s"" eBay Account will be expired soon ( %s ).
                    <br>
                    Please, go to %s > Configuration > eBay Account > <a href=""%s"" target=""_blank"">General TAB</a>,
                    click on the Get Token button. (You will be redirected to the eBay website.)
                    Sign-in and press I Agree on eBay page.
                    Do not forget to press Save button after returning back to Magento","¡Atención! El código de la cuenta de eBay ""%s"" caducará pronto (%s).
                        <br>
                        Ve a %s > Configuración > Cuenta de eBay > <a href=""%s"" target=""_blank"">pestaña General</a>,
                        pulsa Obtener código personal. (Accederás al sitio Web de eBay.)
                        Identifícate y pulsa Acepto en la página de eBay.
                        No olvides pulsar el botón Guardar después de volver a Magento"
Rakuten.com (Beta),Rakuten.com (beta)
Sell On Multi-Channels,Vender en varios canales
"Encoding type ""%s"" is not supported.","No se admite el tipo de codificación ""%s""."
Product id is not set,No se ha establecido el identificador de producto
Prefix must be specified before.,El prefijo se debe especificar antes.
Stock Item is not set.,No se ha establecido el artículo en existencias.
The requested quantity is not available.,La cantidad solicitada no está disponible.
Payment Status for %s Order was not updated. View %sorder log%s for more details.,El estado de pago del pedido de %s no se ha actualizado. Consulta %sorder log%s para obtener más detalles.
Updating Rakuten.com Order Status to Shipped in Progress...,Actualización del estado del pedido de Rakuten.com a Envío en curso...
Shipping Status for %s Order was not updated. View %sorder log%s for more details.,El estado de envío del pedido de %s no se ha actualizado. Consulta %sorder log%s para obtener más detalles.
Shipment handler not found.,No se ha encontrado el identificador de envío.
Product Reindex Was Executed.,Se ha elaborado el nuevo índice de productos.
Magento product is not set.,No se ha establecido el producto de Magento.
There is no associated product found for grouped product.,No se ha encontrado ningún producto asociado para el producto agrupado.
There is no associated product found for configurable product.,No se ha encontrado ningún producto asociado para el producto configurable.
Qty cannot be less than zero.,La cantidad no puede ser inferior a cero.
Selected options do not match the product options.,Las opciones seleccionadas no coinciden con las opciones de producto.
Required options were not selected.,No se han seleccionado las opciones obligatorias.
Invalid order log initiator.,Inicio de registro de pedido no válido.
Invalid repair data.,Datos de reparación no válidos.
Invalid repair type.,Tipo de reparación no válido.
Qty is already reserved.,La cantidad ya está reservada.
Qty reservation is disabled in Account settings.,La reserva de cantidad está desactivada en la configuración de cuenta.
Qty is already released.,La cantidad ya está lanzada.
Qty reserve is already canceled.,La reserva de cantidad ya está cancelada.
The Order Item(s) was not mapped to Magento Product(s) or mapped incorrect.,Los artículos del pedido no se han asignado a los productos de Magento o se han asignado incorrectamente.
Product(s) does not exist.,Los productos no existen.
Synchronization Lock File Is Already Locked,El archivo de bloqueo de sincronización ya está bloqueado
Component Mode or Account ID or Marketplace ID is empty.,"El modo de componente, el identificador de cuenta o el identificador de mercado están vacíos."
No Other Listings found.,No se han encontrado otros anuncios.
Please select order(s).,Selecciona los pedidos.
Qty for selected Order(s) was successfully reserved.,La cantidad para los pedidos seleccionados se ha reservado correctamente.
Qty for selected Order(s) was not reserved.,No se ha reservado la cantidad para los pedidos seleccionados.
Qty for selected Order(s) was not reserved. Reason: %s,No se ha reservado la cantidad para los pedidos seleccionados. Motivo: %s
Qty reserve for selected Order(s) was successfully canceled.,La reserva de cantidad de los pedidos seleccionados se ha cancelado correctamente.
Qty reserve for selected Order(s) was not canceled.,No se ha cancelado la reserva de cantidad de los pedidos seleccionados.
Qty reserve for selected Order(s) was not canceled. Reason: %s,No se ha cancelado la reserva de cantidad de los pedidos seleccionados. Motivo: %s
Order item does not exist.,El artículo del pedido no existe.
"Mapping product ""%s""","Asignación del producto ""%s"""
Assign product options,Asignar opciones de producto
Product does not have required options.,El producto no tiene las opciones obligatorias.
Please specify required options.,Especifica las opciones obligatorias.
Order item was successfully mapped.,El artículo del pedido se ha asignado correctamente.
Order item options were successfully mapped.,Las opciones del artículo del pedido se han asignado correctamente.
Item was successfully unmapped.,El artículo se ha desasignado correctamente.
Data has been sent on Rakuten.com. It is being processed now. You can continue working with M2E Pro.,Los datos se han remitido en Rakuten.com. Se está procesando ahora. Puedes seguir trabajando con M2E Pro.
We recommend to set up your cron job to be run every minute (e.g. * * * * *).,"Te recomendamos configurar el trabajo de cron para que se ejecute cada 5 minutos (por ejemplo, * * * * *)."
"<br/><b>Note:</b> M2E Pro v.5.x.x consists of %s.<br/>
    %s
    %s
    <br/>
    <hr style=""color:#D6D6D6""/><br/>
    M2E Pro extension requires activation for its work.<br/><br/>
    To get the License Key, click the <span style=""text-decoration: underline;"">Get License Key</span> link and follow the instructions.<br/>
    When you got your License Key, press the <span style=""text-decoration: underline;"">Enter</span> button
    and enter your License Key in appeared text field. Press the <span style=""text-decoration: underline;"">Confirm</span> button.<br/><br/>
    <b>Note:</b> If you have not received the License Key, please contact us right away at %s.","<br/><b>Nota:</b> M2E Pro v.5.x.x se compone de %s.<br/>
    %s
    %s
    <br/>
    <hr style=""color:#D6D6D6""/><br/>
    La extensión M2E Pro requiere activación para su funcionamiento.<br/><br/>
    Para obtener la clave de licencia, pulsa el vínculo <span style=""text-decoration: underline;"">Obtener clave de licencia</span> y sigue la instrucciones.<br/>
    Cuando obtengas la clave de licencia, pulsa el botón <span style=""text-decoration: underline;"">Introducir</span>
    e introduce tu clave de licencia en el campo de texto que aparece. Pulsa el botón <span style=""text-decoration: underline;"">Confirmar</span>.<br/><br/>
    <b>Nota</b>: si no has recibido la clave de licencia, ponte en contacto con nosotros inmediatamente al %s."
"<b>Note:</b> The current Beta version of the Rakuten.com module is provided free of charge.
                                However, please be advised that upon the live version of the product release some monthly subscription fee will introduced.","<b>Nota:</b> la versión Beta actual del módulo de Rakuten.com se proporciona totalmente gratis.
                               Sin embargo, recuerda que cuando se lance la versión comercial del producto se aplicará una tarifa mensual de suscripción."
"This page contains all created Listings. Use Templates filters to sort Listings by templates that they use in their settings.<br/>
    You can perform different Actions on a single Listing or on a group of Listings.<br/>
    Actions for a single Listing you can find in the Action column of the grid. Choose a necessary option in the appropriate Listing dropdown to execute it.<br/>
    Mass actions are in the Actions dropdown at the top right corner of the grid. Select check-boxes of appropriate items,
    choose an Action from the dropdown and press the <span style=""text-decoration: underline;"">Submit</span> button.","Esta página contiene todos los anuncios creados. Usa los filtros de plantillas para ordenar los anuncios por las plantillas que utilizan en su configuración.<br/>
    Puedes realizar distintas acciones, en un solo anuncio o en un grupo de anuncios.<br/>
    Puedes encontrar acciones para un solo anuncio en la columna Acción de la tabla. Elige la opción necesaria en la lista desplegable de anuncios adecuada para ejecutarla.<br/>
    Las acciones por lotes se encuentran en el menú desplegable Acciones en la esquina superior derecha de la tabla. Marca las casillas de los artículos adecuados,
    elige una acción del menú desplegable y pulsa el botón <span style=""text-decoration: underline;"">Enviar</span>."
Orders Log Clearing,Borrado del registro de pedidos
Attributes Filter,Filtro de atributos
%s Order ID,Identificador del pedido %s
%s Final Fee,Tarifa final de %s
Action Required,Acción necesaria
Please enter correct product ID or SKU.,Introduce el identificador o número de referencia de producto correcto.
Order Item Mapping,Asignación de artículos de pedido
Order Item Options Mapping,Asignación de opciones de artículo de pedido
Channel Options,Opciones de canal
No channel options available TODO TEXT,No hay opciones de canal disponibles texto pendiente
Save selection for subsequent orders,Guardar selección para pedidos posteriores
Waiting,En espera
Processing,En proceso
Disabled - Coming Soon,Desactivado: pronto disponible
play.com / rakuten.co.uk,play.com / rakuten.co.uk
rakuten.de,rakuten.de
eBay channel status.,Estado de canal de eBay.
Amazon channel status.,Estado de canal de Amazon.
Rakuten,Rakuten
Rakuten.com channel status.,Estado del canal de Rakuten.com.
Play.com / Rakuten.co.uk,Play.com / Rakuten.co.uk
Disabled - Coming Soon...,Desactivado: pronto disponible...
Play.com / Rakuten.co.uk channel status.,Estado de canal de Play.com / Rakuten.co.uk.
Rakuten.de,Rakuten.de
Rakuten.de channel status.,Estado del canal de Rakuten.de.
The tab of which channel must be opened by default.,Pestaña sobre la cual el canal debe abrirse de forma predeterminada.
"Please take a look at <a href=""%s"" onclick=""%s"">Documentation</a> and <a href=""%s"" onclick=""%s"">Knowledge Base</a>.
                Most probably it has the answer to your question(s).<br/>
                If you still have any questions, fill in the form below to contact our Customer Support. <br/><br/>
                <b>Note:</b> We provide support during our working hours: 10 a.m. - 6 p.m. (GMT+2), mon - fri.","Consulta la <a href=""%s"" onclick=""%s"">documentación</a> y la <a href=""%s"" onclick=""%s"">base de conocimientos</a>.
        Lo más probable es que encuentres la respuesta a tus preguntas.<br/>
        Si sigues teniendo preguntas, rellena el formulario siguiente para ponerte en contacto con Atención al cliente. <br/><br/>
        <b>Nota:</b> ofrecemos asistencia durante nuestro horario de atención al cliente: de lunes a viernes de 10:00 a 18:00 (GMT+2)."
Contact Email,Correo electrónico de contacto
General Problem,Problema general
Problem,Problema
"What steps will reproduce the problem?
1.
2.
3.

What is the expected output? What do you see instead?


Please provide any additional information below.
","Pasos para reproducir el problema.
1.
2.
3.

Resultado esperado. ¿Qué aparece en su lugar?


Proporciona a continuación cualquier información adicional.
"
No Articles Found,No se encontraron artículos
Go To Article â†’,Ir al artículo
Feedback,Valoración
No Ideas Found,No se han encontrado ideas
Go To Idea â†’,Ir a la idea
Enter your problem here,Escribe tu problema aquí
